Date 		Day	Time	Pred	High/Low
2021/04/10	Sat	04:19	0.89	L
2021/04/10	Sat	10:19	4.24	H
2021/04/10	Sat	16:23	0.45	L
2021/04/10	Sat	22:42	4.54	H
2021/04/11	Sun	04:55	0.60	L
2021/04/11	Sun	11:02	4.05	H
2021/04/11	Sun	16:50	0.85	L
2021/04/11	Sun	23:05	4.65	H
2021/04/12	Mon	05:31	0.36	L
2021/04/12	Mon	11:44	3.84	H
2021/04/12	Mon	17:16	1.26	L
2021/04/12	Mon	23:27	4.72	H
2021/04/13	Tue	06:07	0.20	L
2021/04/13	Tue	12:29	3.62	H
2021/04/13	Tue	17:41	1.67	L
2021/04/13	Tue	23:50	4.75	H
2021/04/14	Wed	06:45	0.12	L
2021/04/14	Wed	13:18	3.40	H
2021/04/14	Wed	18:06	2.06	L
2021/04/15	Thu	00:16	4.72	H
2021/04/15	Thu	07:26	0.10	L
2021/04/15	Thu	14:16	3.19	H
2021/04/15	Thu	18:32	2.41	L
2021/04/16	Fri	00:44	4.63	H
2021/04/16	Fri	08:13	0.15	L
2021/04/16	Fri	15:30	3.04	H
2021/04/16	Fri	19:00	2.71	L
2021/04/17	Sat	01:18	4.50	H
2021/04/17	Sat	09:07	0.20	L
2021/04/17	Sat	17:04	3.02	H
2021/04/17	Sat	19:35	2.96	L
2021/04/18	Sun	02:02	4.33	H
2021/04/18	Sun	10:11	0.21	L
2021/04/18	Sun	18:37	3.14	H
2021/04/18	Sun	20:47	3.13	L
2021/04/19	Mon	03:02	4.17	H
2021/04/19	Mon	11:17	0.14	L
2021/04/19	Mon	19:26	3.31	H
2021/04/19	Mon	22:43	3.12	L
2021/04/20	Tue	04:19	4.07	H
2021/04/20	Tue	12:16	0.01	L
2021/04/20	Tue	19:53	3.50	H
